SArank,region
229,7Networks_LH_DorsAttn_Post_6
150,7Networks_LH_DorsAttn_Post_7
109,7Networks_LH_DorsAttn_Post_8
180,7Networks_LH_DorsAttn_Post_9
177,7Networks_LH_DorsAttn_Post_10
119,7Networks_LH_DorsAttn_Post_11
148,7Networks_LH_DorsAttn_Post_12
103,7Networks_LH_DorsAttn_Post_13
123,7Networks_LH_DorsAttn_Post_14
125,7Networks_LH_DorsAttn_Post_15
102,7Networks_LH_DorsAttn_Post_16
94,7Networks_LH_DorsAttn_Post_17
171,7Networks_LH_DorsAttn_FEF_1
237,7Networks_LH_DorsAttn_FEF_2
191,7Networks_LH_DorsAttn_FEF_3
239,7Networks_LH_DorsAttn_FEF_4
246,7Networks_LH_DorsAttn_PrCv_1
235,7Networks_LH_DorsAttn_PrCv_2
184,7Networks_LH_SalVentAttn_ParOper_1
260,7Networks_LH_SalVentAttn_ParOper_2
214,7Networks_LH_SalVentAttn_ParOper_3
309,7Networks_LH_SalVentAttn_ParOper_4
222,7Networks_LH_SalVentAttn_TempOcc_1
220,7Networks_LH_SalVentAttn_FrOperIns_1
228,7Networks_LH_SalVentAttn_FrOperIns_2
320,7Networks_LH_SalVentAttn_FrOperIns_3
291,7Networks_LH_SalVentAttn_FrOperIns_4
240,7Networks_LH_SalVentAttn_FrOperIns_5
232,7Networks_LH_SalVentAttn_FrOperIns_6
255,7Networks_LH_SalVentAttn_FrOperIns_7
147,7Networks_LH_SalVentAttn_FrOperIns_8
262,7Networks_LH_SalVentAttn_FrOperIns_9
335,7Networks_LH_SalVentAttn_PFCl_1
277,7Networks_LH_SalVentAttn_Med_1
206,7Networks_LH_SalVentAttn_Med_2
155,7Networks_LH_SalVentAttn_Med_3
257,7Networks_LH_SalVentAttn_Med_4
156,7Networks_LH_SalVentAttn_Med_5
122,7Networks_LH_SalVentAttn_Med_6
145,7Networks_LH_SalVentAttn_Med_7
275,7Networks_LH_Limbic_OFC_1
294,7Networks_LH_Limbic_OFC_2
304,7Networks_LH_Limbic_OFC_3
266,7Networks_LH_Limbic_OFC_4
337,7Networks_LH_Limbic_OFC_5
272,7Networks_LH_Limbic_TempPole_1
250,7Networks_LH_Limbic_TempPole_2
244,7Networks_LH_Limbic_TempPole_3
301,7Networks_LH_Limbic_TempPole_4
254,7Networks_LH_Limbic_TempPole_5
321,7Networks_LH_Limbic_TempPole_6
271,7Networks_LH_Limbic_TempPole_7
161,7Networks_LH_Limbic_TempPole_8
202,7Networks_LH_Cont_Par_1
339,7Networks_LH_Cont_Par_2
326,7Networks_LH_Cont_Par_3
245,7Networks_LH_Cont_Par_4
231,7Networks_LH_Cont_Par_5
223,7Networks_LH_Cont_Par_6
392,7Networks_LH_Cont_Temp_1
350,7Networks_LH_Cont_OFC_1
385,7Networks_LH_Cont_PFCl_1
323,7Networks_LH_Cont_PFCl_2
376,7Networks_LH_Cont_PFCl_3
348,7Networks_LH_Cont_PFCl_4
345,7Networks_LH_Cont_PFCl_5
290,7Networks_LH_Cont_PFCl_6
319,7Networks_LH_Cont_PFCl_7
384,7Networks_LH_Cont_PFCl_8
315,7Networks_LH_Cont_PFCv_1
129,7Networks_LH_Cont_pCun_1
142,7Networks_LH_Cont_pCun_2
175,7Networks_LH_Cont_Cing_1
170,7Networks_LH_Cont_Cing_2
367,7Networks_LH_Cont_PFCmp_1
378,7Networks_LH_Default_Temp_1
400,7Networks_LH_Default_Temp_2
372,7Networks_LH_Default_Temp_3
391,7Networks_LH_Default_Temp_4
292,7Networks_LH_Default_Temp_5
342,7Networks_LH_Default_Temp_6
281,7Networks_LH_Default_Temp_7
217,7Networks_LH_Default_Temp_8
216,7Networks_LH_Default_Temp_9
270,7Networks_LH_Default_Temp_10
224,7Networks_LH_Default_Par_1
263,7Networks_LH_Default_Par_2
236,7Networks_LH_Default_Par_3
312,7Networks_LH_Default_Par_4
381,7Networks_LH_Default_Par_5
287,7Networks_LH_Default_Par_6
351,7Networks_LH_Default_Par_7
346,7Networks_LH_Default_PFC_1
317,7Networks_LH_Default_PFC_2
333,7Networks_LH_Default_PFC_3
352,7Networks_LH_Default_PFC_4
371,7Networks_LH_Default_PFC_5
388,7Networks_LH_Default_PFC_6
311,7Networks_LH_Default_PFC_7
366,7Networks_LH_Default_PFC_8
382,7Networks_LH_Default_PFC_9
298,7Networks_LH_Default_PFC_10
347,7Networks_LH_Default_PFC_11
305,7Networks_LH_Default_PFC_12
386,7Networks_LH_Default_PFC_13
344,7Networks_LH_Default_PFC_14
354,7Networks_LH_Default_PFC_15
365,7Networks_LH_Default_PFC_16
398,7Networks_LH_Default_PFC_17
393,7Networks_LH_Default_PFC_18
394,7Networks_LH_Default_PFC_19
316,7Networks_LH_Default_PFC_20
361,7Networks_LH_Default_PFC_21
341,7Networks_LH_Default_PFC_22
356,7Networks_LH_Default_PFC_23
265,7Networks_LH_Default_PFC_24
183,7Networks_LH_Default_pCunPCC_1
167,7Networks_LH_Default_pCunPCC_2
273,7Networks_LH_Default_pCunPCC_3
187,7Networks_LH_Default_pCunPCC_4
166,7Networks_LH_Default_pCunPCC_5
264,7Networks_LH_Default_pCunPCC_6
293,7Networks_LH_Default_pCunPCC_7
343,7Networks_LH_Default_pCunPCC_8
278,7Networks_LH_Default_pCunPCC_9
186,7Networks_LH_Default_pCunPCC_10
213,7Networks_LH_Default_pCunPCC_11
185,7Networks_RH_Vis_1
192,7Networks_RH_Vis_2
146,7Networks_RH_Vis_3
78,7Networks_RH_Vis_4
76,7Networks_RH_Vis_5
56,7Networks_RH_Vis_6
104,7Networks_RH_Vis_7
30,7Networks_RH_Vis_8
138,7Networks_RH_Vis_9
84,7Networks_RH_Vis_10
29,7Networks_RH_Vis_11
25,7Networks_RH_Vis_12
42,7Networks_RH_Vis_13
55,7Networks_RH_Vis_14
6,7Networks_RH_Vis_15
114,7Networks_RH_Vis_16
136,7Networks_RH_Vis_17
92,7Networks_RH_Vis_18
7,7Networks_RH_Vis_19
57,7Networks_RH_Vis_20
37,7Networks_RH_Vis_21
144,7Networks_RH_Vis_22
11,7Networks_RH_Vis_23
52,7Networks_RH_Vis_24
17,7Networks_RH_Vis_25
60,7Networks_RH_Vis_26
112,7Networks_RH_Vis_27
65,7Networks_RH_Vis_28
41,7Networks_RH_Vis_29
79,7Networks_RH_Vis_30
230,7Networks_RH_SomMot_1
211,7Networks_RH_SomMot_2
107,7Networks_RH_SomMot_3
208,7Networks_RH_SomMot_4
153,7Networks_RH_SomMot_5
132,7Networks_RH_SomMot_6
140,7Networks_RH_SomMot_7
194,7Networks_RH_SomMot_8
71,7Networks_RH_SomMot_9
116,7Networks_RH_SomMot_10
82,7Networks_RH_SomMot_11
164,7Networks_RH_SomMot_12
113,7Networks_RH_SomMot_13
130,7Networks_RH_SomMot_14
151,7Networks_RH_SomMot_15
54,7Networks_RH_SomMot_16
131,7Networks_RH_SomMot_17
66,7Networks_RH_SomMot_18
93,7Networks_RH_SomMot_19
168,7Networks_RH_SomMot_20
24,7Networks_RH_SomMot_21
62,7Networks_RH_SomMot_22
59,7Networks_RH_SomMot_23
100,7Networks_RH_SomMot_24
4,7Networks_RH_SomMot_25
27,7Networks_RH_SomMot_26
48,7Networks_RH_SomMot_27
68,7Networks_RH_SomMot_28
1,7Networks_RH_SomMot_29
38,7Networks_RH_SomMot_30
75,7Networks_RH_SomMot_31
53,7Networks_RH_SomMot_32
33,7Networks_RH_SomMot_33
5,7Networks_RH_SomMot_34
36,7Networks_RH_SomMot_35
86,7Networks_RH_SomMot_36
99,7Networks_RH_SomMot_37
15,7Networks_RH_SomMot_38
20,7Networks_RH_SomMot_39
31,7Networks_RH_SomMot_40
233,7Networks_RH_DorsAttn_Post_1
267,7Networks_RH_DorsAttn_Post_2
201,7Networks_RH_DorsAttn_Post_3
207,7Networks_RH_DorsAttn_Post_4
117,7Networks_RH_DorsAttn_Post_5
188,7Networks_RH_DorsAttn_Post_6
97,7Networks_RH_DorsAttn_Post_7
158,7Networks_RH_DorsAttn_Post_8
141,7Networks_RH_DorsAttn_Post_9
174,7Networks_RH_DorsAttn_Post_10
195,7Networks_RH_DorsAttn_Post_11
96,7Networks_RH_DorsAttn_Post_12
115,7Networks_RH_DorsAttn_Post_13
159,7Networks_RH_DorsAttn_Post_14
162,7Networks_RH_DorsAttn_Post_15
106,7Networks_RH_DorsAttn_Post_16
163,7Networks_RH_DorsAttn_Post_17
110,7Networks_RH_DorsAttn_Post_18
120,7Networks_RH_DorsAttn_Post_19
157,7Networks_RH_DorsAttn_FEF_1
204,7Networks_RH_DorsAttn_FEF_2
149,7Networks_RH_DorsAttn_FEF_3
269,7Networks_RH_DorsAttn_PrCv_1
226,7Networks_RH_SalVentAttn_TempOccPar_1
210,7Networks_RH_SalVentAttn_TempOccPar_2
248,7Networks_RH_SalVentAttn_TempOccPar_3
178,7Networks_RH_SalVentAttn_TempOccPar_4
182,7Networks_RH_SalVentAttn_TempOccPar_5
258,7Networks_RH_SalVentAttn_TempOccPar_6
318,7Networks_RH_SalVentAttn_TempOccPar_7
221,7Networks_RH_SalVentAttn_PrC_1
218,7Networks_RH_SalVentAttn_FrOperIns_1
276,7Networks_RH_SalVentAttn_FrOperIns_2
268,7Networks_RH_SalVentAttn_FrOperIns_3
296,7Networks_RH_SalVentAttn_FrOperIns_4
282,7Networks_RH_SalVentAttn_FrOperIns_5
215,7Networks_RH_SalVentAttn_FrOperIns_6
196,7Networks_RH_SalVentAttn_FrOperIns_7
261,7Networks_RH_SalVentAttn_FrOperIns_8
331,7Networks_RH_SalVentAttn_PFCl_1
284,7Networks_RH_SalVentAttn_Med_1
200,7Networks_RH_SalVentAttn_Med_2
189,7Networks_RH_SalVentAttn_Med_3
247,7Networks_RH_SalVentAttn_Med_4
98,7Networks_RH_SalVentAttn_Med_5
64,7Networks_RH_SalVentAttn_Med_6
139,7Networks_RH_SalVentAttn_Med_7
242,7Networks_RH_SalVentAttn_Med_8
285,7Networks_RH_Limbic_OFC_1
306,7Networks_RH_Limbic_OFC_2
302,7Networks_RH_Limbic_OFC_3
322,7Networks_RH_Limbic_OFC_4
238,7Networks_RH_Limbic_OFC_5
353,7Networks_RH_Limbic_OFC_6
249,7Networks_RH_Limbic_TempPole_1
307,7Networks_RH_Limbic_TempPole_2
300,7Networks_RH_Limbic_TempPole_3
288,7Networks_RH_Limbic_TempPole_4
241,7Networks_RH_Limbic_TempPole_5
280,7Networks_RH_Limbic_TempPole_6
190,7Networks_RH_Limbic_TempPole_7
340,7Networks_RH_Cont_Par_1
303,7Networks_RH_Cont_Par_2
197,7Networks_RH_Cont_Par_3
253,7Networks_RH_Cont_Par_4
203,7Networks_RH_Cont_Par_5
251,7Networks_RH_Cont_Par_6
397,7Networks_RH_Cont_Temp_1
396,7Networks_RH_Cont_Temp_2
324,7Networks_RH_Cont_PFCv_1
325,7Networks_RH_Cont_PFCl_1
380,7Networks_RH_Cont_PFCl_2
336,7Networks_RH_Cont_PFCl_3
299,7Networks_RH_Cont_PFCl_4
349,7Networks_RH_Cont_PFCl_5
283,7Networks_RH_Cont_PFCl_6
243,7Networks_RH_Cont_PFCl_7
377,7Networks_RH_Cont_PFCl_8
334,7Networks_RH_Cont_PFCl_9
310,7Networks_RH_Cont_PFCl_10
368,7Networks_RH_Cont_PFCl_11
374,7Networks_RH_Cont_PFCl_12
295,7Networks_RH_Cont_PFCl_13
357,7Networks_RH_Cont_PFCl_14
289,7Networks_RH_Cont_PFCl_15
165,7Networks_RH_Cont_pCun_1
219,7Networks_RH_Cont_pCun_2
154,7Networks_RH_Cont_Cing_1
160,7Networks_RH_Cont_Cing_2
362,7Networks_RH_Cont_PFCmp_1
358,7Networks_RH_Cont_PFCmp_2
297,7Networks_RH_Default_Par_1
225,7Networks_RH_Default_Par_2
369,7Networks_RH_Default_Par_3
373,7Networks_RH_Default_Par_4
308,7Networks_RH_Default_Par_5
383,7Networks_RH_Default_Temp_1
399,7Networks_RH_Default_Temp_2
313,7Networks_RH_Default_Temp_3
332,7Networks_RH_Default_Temp_4
330,7Networks_RH_Default_Temp_5
209,7Networks_RH_Default_Temp_6
314,7Networks_RH_Default_Temp_7
198,7Networks_RH_Default_Temp_8
329,7Networks_RH_Default_PFCv_1
327,7Networks_RH_Default_PFCv_2
359,7Networks_RH_Default_PFCv_3
328,7Networks_RH_Default_PFCv_4
355,7Networks_RH_Default_PFCdPFCm_1
360,7Networks_RH_Default_PFCdPFCm_2
364,7Networks_RH_Default_PFCdPFCm_3
395,7Networks_RH_Default_PFCdPFCm_4
363,7Networks_RH_Default_PFCdPFCm_5
199,7Networks_RH_Default_PFCdPFCm_6
390,7Networks_RH_Default_PFCdPFCm_7
387,7Networks_RH_Default_PFCdPFCm_8
379,7Networks_RH_Default_PFCdPFCm_9
375,7Networks_RH_Default_PFCdPFCm_10
389,7Networks_RH_Default_PFCdPFCm_11
370,7Networks_RH_Default_PFCdPFCm_12
338,7Networks_RH_Default_PFCdPFCm_13
212,7Networks_RH_Default_pCunPCC_1
176,7Networks_RH_Default_pCunPCC_2
169,7Networks_RH_Default_pCunPCC_3
274,7Networks_RH_Default_pCunPCC_4
234,7Networks_RH_Default_pCunPCC_5
286,7Networks_RH_Default_pCunPCC_6
279,7Networks_RH_Default_pCunPCC_7
227,7Networks_RH_Default_pCunPCC_8
193,7Networks_RH_Default_pCunPCC_9
